year,month,day,event,isHoliday
1396,5,1,درگذشت دیوید وارک گریفیث، از پیشتازان سینما در آمریکا,0
1396,5,1,درگذشت ویلیام رمزی شیمیدان اسکاتلندی، کاشف گازهای نئون، آرگون، زنون، هلیوم و کریپتون، برنده جایزه نوبل شیمی سال ۱۹۰۴,0
1396,5,2,زادروز هنریک پونتوپیدان نویسنده دانمارکی، برنده جایزه نوبل ادبیات سال ۱۹۱۷,0
1396,5,2,درگذشت ایزاک بشویس سینگر داستان‌نویس آمریکایی، برندهٔ جایزه نوبل ادبیات سال ۱۹۷۸,0
1396,5,3,ولادت حضرت معصومه سلام الله علیها و روز دختران,0
1396,5,3,زادروز الیاس کانتی رمان‌نویس سوئیسی، برنده جایزه نوبل ادبیات ۱۹۸۱,0
1396,5,4,افتتاح بزرگترین پالایشگاه نفت سنگین جهان در بندرعباس,0
1396,5,4,زادروز جرج برنارد شاو، نمایشنامه‌نویس و منتقد بریتانیایی ایرلندی تبار,0
1396,5,4,درگذشت گوتلوب فرگه ریاضیدان، منطقدان و فیلسوف آلمانی,0
1396,5,5,زادروز یوهان برنولی ریاضیدان اهل سوییس,0
1396,5,6,روز ترویج آموزش های فنی و حرفه ای,0
1396,5,7,مرداد روز،جشن مردادگان,0
1396,5,7,درگذشت ونسان ون گوگ نقاش هلندی,0
1396,5,8,روز بزرگداشت شیخ شهاب الدین سهروردی,0
1396,5,9,سالروز اهدای خون در ایران,0
1396,5,10,جشن چله تابستان,0
1396,5,10,آغاز هفته جهانی شیردهی,0
1396,5,10,زادروز ژان باتیست لامارک زیست‌شناس فرانسوی,0
1396,5,11,درگذشت الکساندر گراهام بل دانشمند بریتانیایی، مخترع تلفن,0
1396,5,11,درگذشت ریموند کِلِوی کاروِر جونیور نویسندهٔ داستان‌های کوتاه و شاعر آمریکایی,0
1396,5,12,درگذشت ریچارد ویلشتتر شیمیدان آلمانی، برندهٔ جایزه نوبل شیمی سال ۱۹۱۵,0
1396,5,12,درگذشت آلکساندر سولژنیتسین نویسندهٔ روس، برندهٔ جایزه ادبیات نوبل سال ۱۹۷۰ میلادی,0
1396,5,13,ولادت امام  رضا علیه السلام,0
1396,5,14,صدور فرمان مشروطیت,0
1396,5,14,برگزاری اولین کنکور در ایران,0
1396,5,14,زادروز نیل آرمسترانگ، فضانورد آمریکایی و نخستین انسانی که بر کره ماه گام نهاد,0
1396,5,15,زادروز الکساندر فلمینگ دانشمند انگلیسی، کاشف پنی‌سیلین، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۴۵,0
1396,5,15,درگذشت تئودور آدورنو جامعه‌شناس، فیلسوف، موسیقی‌شناس و آهنگ‌ساز نئومارکسیست آلمانی,0
1396,5,16,زادروز الینور اوستروم دانشمند آمریکایی، برندهٔ جایزه نوبل اقتصاد سال ۲۰۰۹,0
1396,5,17,روز خبرنگار,0
1396,5,17,درگذشت نویل فرانسیس مات فیزیکدان انگلیسی، برندهٔ جایزه نوبل فیزیک سال ۱۹۷۷,0
